NewQuestion,MC,,,,
Title,95 % CI formula,,,,
QuestionText,Which expression gives the 95 % confidence interval for the difference of two population proportions (p₁ − p₂)?,,,,
Points,2,,,,
Difficulty,2,,,,
Option,100,(p̂₁ − p̂₂) ± 1.96 × SE,,,
Option,0,(p̂₁ − p̂₂) ± t* × SE,,,
Option,0,(p̂₁ − p̂₂) ± 1.64 × SE,,,
Option,0,(p̂₁ − p̂₂) ± 2.58 × SE,,,
,,,,,
NewQuestion,MC,,,,
Title,CI Includes Zero,,,,
QuestionText,A confidence interval that *includes zero* proves there is no difference between the two population proportions.,,,,
Points,1,,,,
Option,0,True,,Including 0 does **not** prove equality.,
Option,100,False,,Correct – it only shows insufficient evidence.,
,,,,,
NewQuestion,MC,,,,
Title,Pooled Standard Error,,,,
QuestionText,Select the correct standard‑error formula under H₀: p₁ = p₂.,,,,
Points,2,,,,
Option,100,SE₀ = √[ p̂(1−p̂)(1/n₁ + 1/n₂) ],,,
Option,0,SE₀ = √[ p̂₁(1−p̂₁)/n₁ + p̂₂(1−p̂₂)/n₂ ],,,
Option,0,SE₀ = √[ (p̂₁ − p̂₂)/(n₁ + n₂) ],,,
Option,0,SE₀ = √[ (p̂₁ − p̂₂)² / (n₁ n₂) ],,,
,,,,,
NewQuestion,MC,,,,
Title,Meaning of p‑value,,,,
QuestionText,What does the *p‑value* represent in this test?,,,,
Points,3,,,,
Option,0,Probability H₀ is true,,,
Option,100,Probability of observed (or more extreme) data assuming H₀ is true,,,
Option,0,1 − confidence level,,,
Option,0,Significance level chosen before sampling,,,
,,,,,
NewQuestion,M,,,,
Title,Key terms,,,,
QuestionText,Match each term with its correct definition.,,,,
Points,2,,,,
Scoring,AllOrNothing,,,,
Choice,1,Null hypothesis (H₀),,,
Choice,2,Alternative hypothesis (Hₐ),,,
Choice,3,Critical value (z*),,,
Match,1,No difference (p₁ − p₂ = 0),,,
Match,2,There is a difference,,,
Match,3,1.96 for a two‑tailed 95 % test,,,
,,,,,
NewQuestion,O,,,,
Title,CI steps,,,,
QuestionText,Put the steps for building a confidence interval in order.,,,,
Points,2,,,,
Scoring,AllOrNothing,,,,
Item,Compute p̂₁ and p̂₂,,,,
Item,Find the standard error (SE),,,,
Item,Multiply SE by z* to get the margin of error,,,,
Item,Form (p̂₁ − p̂₂) ± MOE,,,,
,,,,,
