NewQuestion,MC,,,,
Title,95% CI formula,,,,
QuestionText,Which expression gives the 95% confidence interval for the difference of two population proportions (\(\scriptsize p_1 - p_2\))?,,,,
Points,2,,,,
Option,100,\(\scriptsize (\hat{p}_1 - \hat{p}_2) \pm 1.96 \times SE\),,,
Option,0,\(\scriptsize (\hat{p}_1 - \hat{p}_2) \pm t^* \times SE\),,,
Option,0,\(\scriptsize (\hat{p}_1 - \hat{p}_2) \pm 1.64 \times SE\),,,
Option,0,\(\scriptsize (\hat{p}_1 - \hat{p}_2) \pm 2.58 \times SE\),,,
,,,,,
NewQuestion,MC,,,,
Title,CI Includes Zero Interpretation,,,,
QuestionText,A confidence interval for a difference (\(\scriptsize p_1 - p_2\)) that *includes zero* indicates that zero is a plausible value for the true difference at the given confidence level.,,,,
Points,1,,,,
Option,100,True,,,
Option,0,False,,,
,,,,,
NewQuestion,MC,,,,
Title,Standard Error for Two-Proportion Test,,,,
QuestionText,"When performing a z-test comparing two population proportions, which formula correctly represents the standard error of the difference (\(\scriptsize \hat{p}_1 - \hat{p}_2\)) calculated *under the assumption that the null hypothesis \(\scriptsize H_0: p_1 = p_2\) is true*?",,,,
Points,2,,,,
Option,100,\(\scriptsize SE_0 = \sqrt{ \hat{p}(1-\hat{p}) (\frac{1}{n_1} + \frac{1}{n_2}) }\),,,
Option,0,\(\scriptsize SE = \sqrt{ \frac{\hat{p}_1(1-\hat{p}_1)}{n_1} + \frac{\hat{p}_2(1-\hat{p}_2)}{n_2} }\),,,
Option,0,\(\scriptsize SE = \sqrt{ \frac{\hat{p}_1 - \hat{p}_2}{n_1 + n_2} }\),,,
Option,0,\(\scriptsize SE = \sqrt{ \frac{(\hat{p}_1 - \hat{p}_2)^2}{n_1 n_2} }\),,,
,,,,,
NewQuestion,MC,,,,
Title,Meaning of p-value,,,,
QuestionText,What does the \(\scriptsize p\)-value represent in a hypothesis test?,,,,
Points,3,,,,
Option,0,The probability that the null hypothesis (\(\scriptsize H_0\)) is true.,,,
Option,100,The probability of observing the collected data (or data more extreme) if the null hypothesis (\(\scriptsize H_0\)) were actually true.,,,
Option,0,The probability that the alternative hypothesis (\(\scriptsize H_a\)) is true.,,,
Option,0,The chosen significance level (\(\scriptsize \alpha\)) for the test.,,,
,,,,,
NewQuestion,M,,,,
Title,Understanding Hypothesis Tests,,,,
QuestionText,Match the core concepts of hypothesis testing to their descriptions.,,,,
Points,4,,,,
Scoring,EquallyWeighted,,,,
Choice,1,Null Hypothesis (\(\scriptsize H_0\)),,
Choice,2,Alternative Hypothesis (\(\scriptsize H_a\)),,
Choice,3,Critical Value,,
Choice,4,Test Statistic,,
Match,1,"The default assumption or claim being tested, often representing the status quo or 'no change'. ",,
Match,2,The research hypothesis; what we suspect might be true if the default assumption is rejected.,,
Match,3,The cut-off point on the test statistic's distribution that defines the rejection region for the null hypothesis.,,
Match,4,A value calculated from sample data used to decide between the null and alternative hypotheses.,,
,,,,,
NewQuestion,O,,,,
Title,Confidence Interval Steps (Difference in Proportions),,,,
QuestionText,Place the steps for constructing a confidence interval for the difference between two population proportions (\(\scriptsize p_1 - p_2\)) in the correct logical order.,,,,
Points,3,,,,
Scoring,AllOrNothing,,,,
Item,Calculate sample proportions (\(\scriptsize \hat{p}_1\) and \(\scriptsize \hat{p}_2\)),,,,
Item,Calculate the standard error (SE) of the difference,,,,
Item,Determine the critical value (\(\scriptsize z^*\)) for the desired confidence level,,,,
Item,Compute the margin of error (MOE = \(\scriptsize z^* \times SE\)),,,,
Item,Form the interval: (\(\scriptsize \hat{p}_1 - \hat{p}_2\)) \(\scriptsize \pm\) MOE,,,,
,,,,,
NewQuestion,MC,,,,
Title,Vaccination Rate Confidence Interval,,,,
QuestionText,"<p>A public health survey investigated vaccination coverage differences between populations. In the urban sample, 120 out of 400 respondents reported being vaccinated (yielding a sample proportion \(\scriptsize \hat{p}_1 = 0.30\)). In the rural sample, 125 out of 500 respondents were vaccinated (\(\scriptsize \hat{p}_2 = 0.25\)).</p><p>The observed difference in these sample proportions is \(\scriptsize \Delta = \hat{p}_1 - \hat{p}_2 = +0.05\).</p><p>Based on this data, what is the plausible range for the *true difference* in vaccination proportions (\(\scriptsize p_1 - p_2\)) between the underlying urban and rural populations? Select the correct \(\scriptsize 95\%\) confidence interval below, rounded to three decimal places.</p>",,,,
Points,2,,,,
Option,100,"[ -0.009, +0.109 ]",,,
Option,0,"[ −0.050, +0.150 ]",,,
Option,0,"[ +0.009, +0.109 ]",,,
Option,0,"[ −0.109, +0.009 ]",,,
,,,,,
NewQuestion,MC,,,,
Title,Interpreting Field Experiment Confidence Interval,,,,
